loading data...
487339 lines
sampling 1000 sentences and computing ['bias', 'subjectivity', 'vader', 'flesch-kincaid']...
collected features: (487336, 4)
+----------------------------+--------+--------------+--------+----------------+
|         sentences          |  bias  | subjectivity | vader  | flesch-kincaid |
| a resolution the monitor   |        |              |        |                |
| cant handle um rite if its |        |              |        |                |
| resolution then you have   |        |              |        |                |
| to add the resolution to   |        |              |        |                |
| your xorg do you know how  |        |              |        |                |
| to do that ? yeah have you |        |              |        |                |
| done it yet ?              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey folks . why is there   | 0.372  | 0.580        | 0.772  | 11.500         |
| no opera browser package   |        |              |        |                |
| in gutsy ? we have firefox |        |              |        |                |
| **unknown** trashbin vista |        |              |        |                |
| i know  but i like to use  |        |              |        |                |
| opera too sometimes        |        |              |        |                |
| usually for testing        |        |              |        |                |
| purposes i'm sure i'm not  |        |              |        |                |
| alone there probly have it |        |              |        |                |
| on there site              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| ! restricted > tibbe !     | 0.024  | 0.475        | 0.924  | 18.500         |
| nvidia **unknown** there   |        |              |        |                |
| is an ie plugin for        |        |              |        |                |
| firefox but that whould    |        |              |        |                |
| not work on linux hehe     |        |              |        |                |
| well you know i've had     |        |              |        |                |
| some success with active x |        |              |        |                |
| plugins with ie on wine i  |        |              |        |                |
| have no idea why you       |        |              |        |                |
| whould want ie on linux    |        |              |        |                |
| but hey lol                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "hi all will it be         | 0.428  | 0.490        | 0.929  | 3.300          |
| possible  when breezy gets |        |              |        |                |
| released  to upgrade from  |        |              |        |                |
| hoary without a hitch ? (  |        |              |        |                |
| ie : not having to run     |        |              |        |                |
| apt-get -f install  or     |        |              |        |                |
| fiddling with xorg . conf  |        |              |        |                |
| ... ) i did it a week back |        |              |        |                |
| without problems really ?  |        |              |        |                |
| i did it two weeks ago     |        |              |        |                |
| and i had to run dpkg-     |        |              |        |                |
| reconfigure xserver-xorg   |        |              |        |                |
| had you previously hand    |        |              |        |                |
| tweaked your config files  |        |              |        |                |
| ? well ... it 's a good    |        |              |        |                |
| thing if it works :)       |        |              |        |                |
| something else ... is      |        |              |        |                |
| amarok 1.3 **unknown** not |        |              |        |                |
| making it to breezy ? i    |        |              |        |                |
| see version : 2:1 . 3.1    |        |              |        |                |
| -0ubuntu2 right now really |        |              |        |                |
| ?! thats what "" apt-cache |        |              |        |                |
| show amarok "" tells me    |        |              |        |                |
| **unknown**"               |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hello all  i just          | 0.270  | 0.609        | 0.898  | 2.100          |
| installed vmware server    |        |              |        |                |
| from the repos...it 's     |        |              |        |                |
| free right ? yes achoth    |        |              |        |                |
| thanks guys you welcome    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "help : in bash  how do i  | 0.200  | 0.344        | 0.781  | 2.100          |
| quickly move my cursor to  |        |              |        |                |
| the first character ?      |        |              |        |                |
| pressing "" home ""        |        |              |        |                |
| doesn't work ... ctrl+a    |        |              |        |                |
| thanks ! how about to the  |        |              |        |                |
| end of line ???"           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| before making a apt-get    | -0.070 | 1            | -0.914 | 9.100          |
| dist-upgrade i have to do  |        |              |        |                |
| a apt-get update ? no need |        |              |        |                |
| to re-update if you just   |        |              |        |                |
| did it just do ' sudo apt- |        |              |        |                |
| get dist-upgrade ' no it   |        |              |        |                |
| stop after this error :(   |        |              |        |                |
| sorry - missed your        |        |              |        |                |
| followup                   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i have a small hoby        | 0.374  | 0.300        | 0.860  | 6              |
| web/mail/whatever server   |        |              |        |                |
| that i occasionaly run x   |        |              |        |                |
| from . what ubuntu         |        |              |        |                |
| distribution would         |        |              |        |                |
| probably be best for me ?  |        |              |        |                |
| what would be a sane way   |        |              |        |                |
| to add x to the server     |        |              |        |                |
| distribution of ubuntu ? i |        |              |        |                |
| think maybe sudo apt-get   |        |              |        |                |
| install ubuntu-desktop is  |        |              |        |                |
| there some where on the    |        |              |        |                |
| ubuntu web page that lists |        |              |        |                |
| what all comes in that     |        |              |        |                |
| package ? that should give |        |              |        |                |
| you most the required      |        |              |        |                |
| packages i think . hmmm    |        |              |        |                |
| dunno . hhmm . thanks .    |        |              |        |                |
| i'm contemplating moving   |        |              |        |                |
| my debian box over to      |        |              |        |                |
| ubuntu . i dunno if it 's  |        |              |        |                |
| worth the effort tho .     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| whats that other method of | -0.289 | 0.513        | -0.753 | 4.400          |
| connecting to computers    |        |              |        |                |
| over the net ? **unknown** |        |              |        |                |
| vpn i think well a lot of  |        |              |        |                |
| bussiness have their       |        |              |        |                |
| employees **unknown**      |        |              |        |                |
| using vpn i think .. why   |        |              |        |                |
| that over say .. ssh ?     |        |              |        |                |
| ahhh  it could be a vnc    |        |              |        |                |
| over vpn :o login remotely |        |              |        |                |
| over a vpn and have a      |        |              |        |                |
| virtual desktop  anyhow    |        |              |        |                |
| grrrrr at my problem . why |        |              |        |                |
| doesn't a remotely mounted |        |              |        |                |
| filesystem have a path     |        |              |        |                |
| such a /media/ or /dev/ or |        |              |        |                |
| etc ... for use in such    |        |              |        |                |
| programs as netbeans etc   |        |              |        |                |
| ..... vpn is better at     |        |              |        |                |
| graphics than ssh ? ssh is |        |              |        |                |
| command line vnc usually   |        |              |        |                |
| has a gui .... vpn is just |        |              |        |                |
| a communications protocol  |        |              |        |                |
| ... you need to learn to   |        |              |        |                |
| distinguish between them   |        |              |        |                |
| all otherwise you will     |        |              |        |                |
| confuse everyone you are   |        |              |        |                |
| talking to ssh is usually  |        |              |        |                |
| **unknown** thx ..         |        |              |        |                |
| dominicdinada .. your      |        |              |        |                |
| right i've used ssh from   |        |              |        |                |
| windows to my shared host  |        |              |        |                |
| account at godaddy and i   |        |              |        |                |
| used tinyvnc to take       |        |              |        |                |
| control of mom 's desktop  |        |              |        |                |
| upstairs .. but never been |        |              |        |                |
| exposed to vpn i didn't    |        |              |        |                |
| even know you can vnc over |        |              |        |                |
| vpn ssh from windows ? by  |        |              |        |                |
| default there is no client |        |              |        |                |
| on windows for ssh  unless |        |              |        |                |
| u got putty or something . |        |              |        |                |
| putty is a ssh client in   |        |              |        |                |
| windows yea .. i used      |        |              |        |                |
| putty putty is totally     |        |              |        |                |
| different from windows .   |        |              |        |                |
| it runs on windows but not |        |              |        |                |
| apart or installed on any  |        |              |        |                |
| windows machine . lol i    |        |              |        |                |
| know that .. sorry i       |        |              |        |                |
| phrased that wrong .. errr |        |              |        |                |
| not packaged with any      |        |              |        |                |
| windows installs unless it |        |              |        |                |
| is a installer built via   |        |              |        |                |
| waik or so anyhow grrrrr   |        |              |        |                |
| at my problem . why        |        |              |        |                |
| doesn't a remotely mounted |        |              |        |                |
| filesystem have a path     |        |              |        |                |
| such a /media/ or /dev/ or |        |              |        |                |
| etc ... for use in such    |        |              |        |                |
| programs as netbeans etc   |        |              |        |                |
| .....                      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| can someone help me : ive  | -0.440 | 0.315        | -0.644 | 6              |
| got the via82xx chipset    |        |              |        |                |
| and the standard sounds in |        |              |        |                |
| ubuntu work but try to     |        |              |        |                |
| play a audiocd or a        |        |              |        |                |
| oggfile and it does give a |        |              |        |                |
| error . im working in      |        |              |        |                |
| ubuntu right now i think   |        |              |        |                |
| you may need to change     |        |              |        |                |
| your soundto alsa instead  |        |              |        |                |
| of esd ... i hve to tell   |        |              |        |                |
| im a n00b in ubuntu but    |        |              |        |                |
| can u explain me how i doe |        |              |        |                |
| that all players give the  |        |              |        |                |
| same error **unknown**     |        |              |        |                |
| ???? something like that   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| anyone having problems     | 1.300  | 0.667        | -0.748 | 4              |
| with flash in firefox ?    |        |              |        |                |
| flash works for me it      |        |              |        |                |
| works for me too but badly |        |              |        |                |
| have you tried             |        |              |        |                |
| reinstalling it ?          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| http://tinypic.com/r/2zyl9 | 0.270  | 0.455        | 0      | 6.800          |
| qh/6 pippin418 what are    |        |              |        |                |
| you trying to do ? just    |        |              |        |                |
| trying to get wireless     |        |              |        |                |
| working on the new laptop  |        |              |        |                |
| just installed ubuntu      |        |              |        |                |
| about 20 minutes ago       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi  i can't find the .     | -0.278 | 0.335        | -0.870 | 5.200          |
| gnome folder in my home  i |        |              |        |                |
| wanted to install a couple |        |              |        |                |
| of scripts but there is no |        |              |        |                |
| gnome folder there .       |        |              |        |                |
| shouldn't it be there from |        |              |        |                |
| when i installed gimp ? go |        |              |        |                |
| to view in nautilus and    |        |              |        |                |
| click show hidden files    |        |              |        |                |
| done that  there 's        |        |              |        |                |
| nowhere to be found really |        |              |        |                |
| are you running gnome ?    |        |              |        |                |
| yeap  gnome it is . should |        |              |        |                |
| i reinstall gimp ? i am    |        |              |        |                |
| confused because if you    |        |              |        |                |
| don't have . gnome then a  |        |              |        |                |
| whole lot of other stuff   |        |              |        |                |
| my become a problem later  |        |              |        |                |
| ... you might try running  |        |              |        |                |
| sudo apt-get install       |        |              |        |                |
| ubuntu-desktop ... while   |        |              |        |                |
| it may already be          |        |              |        |                |
| installed .. there could   |        |              |        |                |
| be some packaging triggers |        |              |        |                |
| in there that need to be   |        |              |        |                |
| processed done  but it     |        |              |        |                |
| says i've already got      |        |              |        |                |
| newest version and doesn't |        |              |        |                |
| change anything            |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i have a specific problem  | -0.653 | 0.125        | -0.644 | 3.600          |
| why does ubuntu change my  |        |              |        |                |
| the system time  in my     |        |              |        |                |
| bios  when it adjusts my   |        |              |        |                |
| clock ? and how do i stop  |        |              |        |                |
| it ? check in the forum    |        |              |        |                |
| for that nothing in the    |        |              |        |                |
| wiki to answer it .        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i thought c# was a windows | -0.039 | 0.567        | -0.650 | 4.400          |
| only language so simple    |        |              |        |                |
| now i'm addicted to ubuntu |        |              |        |                |
| . i'm trying to get my mom |        |              |        |                |
| and dad to use it my dad   |        |              |        |                |
| has no interest . my mom   |        |              |        |                |
| wants to know what it 's   |        |              |        |                |
| all about but she is not   |        |              |        |                |
| technically advanced . but |        |              |        |                |
| as long as she doesn't     |        |              |        |                |
| have root access  i figure |        |              |        |                |
| she can't muck things up   |        |              |        |                |
| too badly we'll see . i'll |        |              |        |                |
| start with my brother who  |        |              |        |                |
| is the most advanced . i   |        |              |        |                |
| do need a better mp3       |        |              |        |                |
| player that will allow me  |        |              |        |                |
| to alter the sound a bit   |        |              |        |                |
| rythymbox is kind of flat  |        |              |        |                |
| is songbird a total flop ? |        |              |        |                |
| what 's an itunes like     |        |              |        |                |
| alternative on ubuntu ?    |        |              |        |                |
| try songbird i tried       |        |              |        |                |
| songbird on windows and    |        |              |        |                |
| was not impressed          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| anyone knows how to auto   | -0.004 | 0.725        | 0.297  | 9.900          |
| identify on this server so |        |              |        |                |
| i wont have to /msg        |        |              |        |                |
| nickserv identify i just   |        |              |        |                |
| used a ' text replace '    |        |              |        |                |
| and used /msg nickserv     |        |              |        |                |
| identify **unknown** for   |        |              |        |                |
| /msg nickserver ... i just |        |              |        |                |
| used a ' text replace '    |        |              |        |                |
| and used /msg nickserv     |        |              |        |                |
| identify **unknown** very  |        |              |        |                |
| sorry  did that make any   |        |              |        |                |
| sense ? im trying to       |        |              |        |                |
| figure out what everyone   |        |              |        |                |
| is saying lol              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "hey guys  what 's a good  | 0.312  | 0.600        | 0.394  | 3.300          |
| easy-to-use vnc server ?   |        |              |        |                |
| is there a way to activate |        |              |        |                |
| vncviewer server for       |        |              |        |                |
| windows ? "" activate ""?  |        |              |        |                |
| you installed **unknown**  |        |              |        |                |
| for windows ? no  i'm a    |        |              |        |                |
| newb . i haven't installed |        |              |        |                |
| anything yet . should i    |        |              |        |                |
| use realvnc or **unknown** |        |              |        |                |
| ?"                         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how can i see why a        | -0.293 | 0.415        | 0.331  | 7.900          |
| certain package was        |        |              |        |                |
| installed ? i mean which   |        |              |        |                |
| package forced it to be    |        |              |        |                |
| installed ? you can list   |        |              |        |                |
| installed packages by      |        |              |        |                |
| using dpkg -l you can also |        |              |        |                |
| filter the output with     |        |              |        |                |
| grep for holding or        |        |              |        |                |
| forcing a version you can  |        |              |        |                |
| do this in the synaptic    |        |              |        |                |
| package manager from the   |        |              |        |                |
| system->administration     |        |              |        |                |
| menu thanks                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| what should happen when i  | 0.193  | 0.350        | 0.722  | 6.800          |
| type lspci in terminal ?   |        |              |        |                |
| someone running it on a    |        |              |        |                |
| laptop tells me it returns |        |              |        |                |
| a command not found        |        |              |        |                |
| someone on a laptop is     |        |              |        |                |
| telling me that lspci      |        |              |        |                |
| returns ' command not      |        |              |        |                |
| found ' in terminal  does  |        |              |        |                |
| anyone have a solution for |        |              |        |                |
| that ? for lspci  who was  |        |              |        |                |
| that ? friend of mine      |        |              |        |                |
| nevermind  apparently he   |        |              |        |                |
| read it as ispci           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| actionpa1snip  can ihave   | 0.617  | 0.950        | 0.691  | 18.500         |
| the link for shh you just  |        |              |        |                |
| need to install openssh-   |        |              |        |                |
| server then port forward   |        |              |        |                |
| port 22 on your router to  |        |              |        |                |
| the pc ( if you use a      |        |              |        |                |
| router ) he will og on as  |        |              |        |                |
| an account on the pc  just |        |              |        |                |
| like you do if we use      |        |              |        |                |
| modem will it be           |        |              |        |                |
| successfully               |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi all i just installed    | -0.334 | 0.685        | -0.727 | 10.700         |
| kde on ubuntu server  how  |        |              |        |                |
| do i make it start the gui |        |              |        |                |
| on a reboot ? i looked for |        |              |        |                |
| the /etc/inittab  but      |        |              |        |                |
| could not find it install  |        |              |        |                |
| kubuntu-desktop then xinit |        |              |        |                |
| and startx launches the    |        |              |        |                |
| gui it was kind of nice    |        |              |        |                |
| didnt know it had that     |        |              |        |                |
| much of functionlaity too  |        |              |        |                |
| heavy why you want kde     |        |              |        |                |
| don't you ... i don't see  |        |              |        |                |
| the point otherwise  it 's |        |              |        |                |
| only abit larger . you     |        |              |        |                |
| always remove plasma if    |        |              |        |                |
| you want why did you say   |        |              |        |                |
| that webmin is dangerous ? |        |              |        |                |
| ^ had no idea  thats bad   |        |              |        |                |
| close compiz and try again |        |              |        |                |
| i have not installed the   |        |              |        |                |
| copiz in the terminal      |        |              |        |                |
| sudo dpkg -- configure -a  |        |              |        |                |
| the try updating again ok  |        |              |        |                |
| what is the purpose of the |        |              |        |                |
| command sudo dpkg --       |        |              |        |                |
| configure -a sudo dpkg --  |        |              |        |                |
| configure -a what is the   |        |              |        |                |
| impact of this command     |        |              |        |                |
| that command finishes any  |        |              |        |                |
| pending updates            |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| help help me first help    | 0.292  | 0.348        | 0.896  | 14.200         |
| patience ok bazhang and    |        |              |        |                |
| **unknown** 1st  other     |        |              |        |                |
| people asked before you    |        |              |        |                |
| 2nd  just repeating the    |        |              |        |                |
| same thing so quick won't  |        |              |        |                |
| get you answers  just      |        |              |        |                |
| people like me and bazhang |        |              |        |                |
| responding to you          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how does one figure out    | 0.445  | 0.426        | 0.907  | 3.300          |
| why a custom init . script |        |              |        |                |
| does not stat at boot but  |        |              |        |                |
| works when i do sudo .     |        |              |        |                |
| /myscript start look if it |        |              |        |                |
| left any traces in         |        |              |        |                |
| /var/log/ . add debug      |        |              |        |                |
| statements in it . or you  |        |              |        |                |
| could paste it here for us |        |              |        |                |
| to see . there might be    |        |              |        |                |
| some path issues . in      |        |              |        |                |
| which log in var/log       |        |              |        |                |
| should i look in ? boot    |        |              |        |                |
| messages  syslog at least  |        |              |        |                |
| i guess . when i do sudo . |        |              |        |                |
| **unknown** status is says |        |              |        |                |
| started so i guess it is   |        |              |        |                |
| started i guess so maybe   |        |              |        |                |
| the problem is that it     |        |              |        |                |
| gets started to early  the |        |              |        |                |
| service  needs network     |        |              |        |                |
| connection could be  how   |        |              |        |                |
| do you start it ? i did    |        |              |        |                |
| this sudo **unknown** c.d  |        |              |        |                |
| myscript defaults 98 02 is |        |              |        |                |
| there a way to see the     |        |              |        |                |
| order of the services      |        |              |        |                |
| started ? ` i.e : ls -l    |        |              |        |                |
| **unknown** . **unknown**  |        |              |        |                |
| you could look into using  |        |              |        |                |
| upstart instead of ini     |        |              |        |                |
| **unknown** scripts . it   |        |              |        |                |
| 's supposed to be more     |        |              |        |                |
| flexible with regards to   |        |              |        |                |
| dependencies if i want to  |        |              |        |                |
| make sure it is at the end |        |              |        |                |
| how do i do that ? oh      |        |              |        |                |
| don't know much about it   |        |              |        |                |
| i just found this script   |        |              |        |                |
| on the net and i added it  |        |              |        |                |
| put it in /etc/rc . local  |        |              |        |                |
| or /etc/crontab with a     |        |              |        |                |
| line like : @reboot user   |        |              |        |                |
| command so i should copy   |        |              |        |                |
| the script to /etc/rc .    |        |              |        |                |
| local and try reboot to    |        |              |        |                |
| see if that works ? don't  |        |              |        |                |
| i have to remove it from   |        |              |        |                |
| where it is now ? /etc/rc  |        |              |        |                |
| . local is a file . you    |        |              |        |                |
| add the script path before |        |              |        |                |
| exit in there .            |        |              |        |                |
| **unknown** c.d -f deluge- |        |              |        |                |
| daemon remove` first i     |        |              |        |                |
| messed up the rc . local   |        |              |        |                |
| since i thought that it    |        |              |        |                |
| was a folder so i replaced |        |              |        |                |
| it with my script  is      |        |              |        |                |
| there something important  |        |              |        |                |
| in it ? :) hehe  no  by    |        |              |        |                |
| default it 's basically    |        |              |        |                |
| empty . phew ...... :) ok  |        |              |        |                |
| i need to look up on the   |        |              |        |                |
| net the syntax to how to   |        |              |        |                |
| add the script in it       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i am trying to figure out  | 0.005  | 0.643        | 0.276  | 8.700          |
| what ports that are used   |        |              |        |                |
| at this moment but i have  |        |              |        |                |
| no clue how to scan for    |        |              |        |                |
| them  anyone that can help |        |              |        |                |
| me with that ? i need to   |        |              |        |                |
| know the ports to set up   |        |              |        |                |
| my ufw firewall the ' nmap |        |              |        |                |
| ' command is suitable for  |        |              |        |                |
| that task nmap localhost   |        |              |        |                |
| would be the right command |        |              |        |                |
| ?                          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi ! is there a good       | -0.026 | 0.400        | 0.330  | 3.300          |
| reason for the open port   |        |              |        |                |
| 32771 on breezy ? ( seems  |        |              |        |                |
| to be by hplip ) maybe add |        |              |        |                |
| a hostbased firewall ? no  |        |              |        |                |
| i wonder why a standard    |        |              |        |                |
| install of breezy has this |        |              |        |                |
| open port                  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i need help scanning - the | -0.088 | 0.800        | -0.320 | 8              |
| scanner ( brother mfc      |        |              |        |                |
| **unknown** ) is switched  |        |              |        |                |
| on  connected to the       |        |              |        |                |
| network  i followed the    |        |              |        |                |
| manufacturer 's            |        |              |        |                |
| instructions ( http://welc |        |              |        |                |
| ome.solutions.brother.com/ |        |              |        |                |
| bsc/public_s/id/linux/en/i |        |              |        |                |
| nstruction_scn1b.html ) -  |        |              |        |                |
| but simple-scan has no     |        |              |        |                |
| device . what do i do ?    |        |              |        |                |
| dpkg -l | grep brother htt |        |              |        |                |
| p://paste.ubuntu.com/13058 |        |              |        |                |
| 51/ still there or shall i |        |              |        |                |
| ask someone else ?         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi there . i have edgy     | -0.232 | 0.406        | -0.252 | 8.700          |
| installed . it boots to    |        |              |        |                |
| the desktop  no problem .  |        |              |        |                |
| but if i hit ctrl-alt-f1   |        |              |        |                |
| to go to a console  then   |        |              |        |                |
| ctrl-alt-f7 to go back to  |        |              |        |                |
| the desktop  i just get a  |        |              |        |                |
| beige that flashes to      |        |              |        |                |
| white and back to beige    |        |              |        |                |
| constantly . anyone know   |        |              |        |                |
| what this is ? sounds like |        |              |        |                |
| x has a problem probably a |        |              |        |                |
| driver bug probably just a |        |              |        |                |
| bug in the driver maybe    |        |              |        |                |
| but it looks kind of       |        |              |        |                |
| intentional -- the colour  |        |              |        |                |
| fades from beige to white  |        |              |        |                |
| and back again . it 's the |        |              |        |                |
| agpgart driver  pretty     |        |              |        |                |
| standard agpart - isn ' a  |        |              |        |                |
| video driver doesn't look  |        |              |        |                |
| intentional sorry          |        |              |        |                |
| intel_agp + agpgart        |        |              |        |                |
| intel_agp isn't a driver   |        |              |        |                |
| ok  what i'm trying to say |        |              |        |                |
