sentence,bias_score,assertive_verb_count,assertive_verb_prop,bias_count,bias_prop,coherence_marker_count,coherence_marker_prop,degree_modifier_count,degree_modifier_prop,factive_verb_count,factive_verb_prop,flesch-kincaid_grade_level,hedge_word_count,hedge_word_prop,implicative_verb_count,implicative_verb_prop,liwc_3rd_person_pronoum_count,liwc_3rd_person_pronoun_prop,liwc_achievement_word_count,liwc_achievement_word_prop,liwc_adverb_count,liwc_adverb_prop,liwc_auxiliary_verb_count,liwc_auxiliary_verb_prop,liwc_causation_word_count,liwc_causation_word_prop,liwc_certainty_word_count,liwc_certainty_word_prop,liwc_conjunction_count,liwc_conjunction_prop,liwc_discrepency_word_count,liwc_discrepency_word_prop,liwc_preposition_count,liwc_preposition_prop,liwc_tentative_word_count,liwc_tentative_word_prop,liwc_work_word_count,liwc_work_word_prop,modality,mood,opinion_count,opinion_prop,subjective_strong_count,subjective_strong_prop,subjective_weak_count,subjective_weak_prop,subjectivity_score,unique_word_count,vader_composite_sentiment,word_count
"in all honesty though , is spot - on about mvc3 's completely inexcusable lack of features . they 're saving it for super marvel vs capcom <number> gold edition",0.5964927855,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0.0345,1,0.0345,3,0.1034,1,0.0345,0,0,2,0.069,1,0.0345,0,0,5,0.1724,0,0,0,0,0.75,indicative,0,0,0,0,0,0,0.5333,29,0.8085,29
"i wonder how many frat guys are about to unfollow me . but anyways they have a "" synchronized "" personality well most when you tweet i can imagine you saying words in your accent and i laugh . you need to change your avi back .",0.5943375775,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,1,0.0227,0,0,5,0.1136,3,0.0682,2,0.0455,0,0,4,0.0909,1,0.0227,4,0.0909,2,0.0455,1,0.0227,0.2273,conditional,0,0,0,0,0,0,0.275,37,0.8201,44
incredible ! ! ! rt ouchhhhhhhhhhhhh ! ? wow <url> davidbekham yes incredible bsara7a  check the top rated comments tayeb,0.5939826466,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,1,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,imperative,0,0,0,0,0,0,0.825,16,0.858,17
"why you bullshxttin ? u kno u gonna be all up on them freshman . talkin bout you <number> , right ? & lt - - - - i like this upperclassman . she keeeeps it real . lol rt & lt - - - - i like this upperclassman . she keeeeps it real . lol & lt & lt lol thanks guhh !",0.5814324511,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,0,0,3,0.0508,0,0,0,0,1,0.0169,1,0.0169,1,0.0169,0,0,0,0,2,0.0339,0,0,0,0,0.75,imperative,0,0,0,0,0,0,0.6871,34,0.9428,59
cts reallly quiet - _ - hope you 're having fun tho ! ! ! ! go fist pump for them aww thanks and i am really enjoying myself but its just like idk i keep looking out the window <cont> <url> lol he got you up in timbucktoo,0.5740216919,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,2,0.0408,0,0,3,0.0612,2,0.0408,0,0,0,0,3,0.0612,1,0.0204,4,0.0816,1,0.0204,0,0,0.5,indicative,0,0,0,0,0,0,0.4067,44,0.9315,49
"omg omg omg , i saw this gwapo guyyyy heere at addu migahhhd xd whooo hahaha eric patrick dulay . o hahahahahahha hahahahahaha i shall search him . lolness . oiii , tiks me . laterrrrrrrr , yes you should search in twitter seconddulay hahhahahhahah naa nko 'y gi send nimo hahahahaha omg , i thought she liked ryle ? oh my gawhd qwwegsdjshfjurekfcndjbvjfd heheheheheh she 's a flirt , no worries you have him hahahhahahahha",0.5548387654,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,4,0.0615,0,0,0,0,3,0.0462,0,0,0,0,0,0,1,0.0154,2,0.0308,0,0,0,0,0.4286,conditional,0,0,0,0,0,0,0.6,56,0.836,65
ishot yogi bear in the foot . he told everyone he lost it in nam black swan if you want to watch it again its online today <url>,0.549204486,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,2,0.069,1,0.0345,1,0.0345,0,0,0,0,0,0,1,0.0345,2,0.069,3,0.1034,1,0.0345,0,0,-0.25,indicative,0,0,0,0,0,0,0.4333,26,-0.25,29
she loves you dip ? rt i hate when you say love to me but in fact you don 't love me you need a big cock,0.5238305179,0,0,0,0,1,0.0385,0,0,0,0,1.3,0,0,0,0,1,0.0385,0,0,1,0.0385,0,0,0,0,1,0.0385,2,0.0769,1,0.0385,2,0.0769,0,0,0,0,0.5,indicative,0,0,0,0,0,0,0.55,21,0.8176,26
i want your shirt ! ! seems like you 've got quite the predicament on your hands . lol lol yes i do . but i do want it ! haha,0.4993809719,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,2,0.0769,0,0,0,0,1,0.0385,2,0.0769,1,0.0385,2,0.0769,0,0,-0.0833,indicative,0,0,0,0,0,0,0.5667,20,0.8974,26
guess what you get this saturday if you find me a cupcake pan ! ! ! ? ? sam ! ! ! i 'm not gonna be here on saturday ! ! ! ! ! ! ! lol fine then lol the cupcakes will have to wait !,0.4780045559,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,1,0.0303,3,0.0909,0,0,0,0,2,0.0606,1,0.0303,2,0.0606,2,0.0606,0,0,0.5714,conditional,0,0,0,0,0,0,0.6333,30,0.8372,33
smoking weed is not attractive in any way . okay . didnt know you had twitter ! lool wooho ! yeah i 'm good & you ? btw i hope ur tweets are not dead lol woahh my tweets are amazing mate ! same goes to you lool im only kidding anyway ! i dont tweet much anymore but they are ok well you need to start tweeting more then !,0.4774660615,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,1,0.0159,0,0,2,0.0317,8,0.127,0,0,0,0,2,0.0317,2,0.0317,3,0.0476,2,0.0317,0,0,0.5,indicative,0,0,0,0,0,0,0.5841,52,0.9189,63
i just hate when she talks i 've been following for awhile and she haven 't even followed a niggga back . so rude lmao,0.471797543,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,2,0.0833,0,0,5,0.2083,1,0.0417,0,0,0,0,3,0.125,0,0,1,0.0417,0,0,0,0,1,indicative,0,0,0,0,0,0,0.52,22,-0.5248,24
"please follow & lt - - - - she follows everyone back if you ask im from manchester , you ? and welcome ! so do i ! tanksss ! np & lt <number> ohh thats cool ! ! im from dominican republic ! awesome ! . um , wheres that ? & lt <number> hahaha ! ! is in the caribbean next to puerto rico ! p oo woah . does justin follow you ?",0.4595847337,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1,0.0159,0,0,2,0.0317,7,0.1111,0,0,0,0,3,0.0476,1,0.0159,4,0.0635,1,0.0159,0,0,0.75,indicative,0,0,0,0,0,0,0.4917,48,0.9621,63
"becca ! ! ! newbigtimerush hey ! ! = how are you ! ? ! i missed you soooo much ! & lt <number> newbigtimerush im ok , in a lot alot of pain right now . but thank you for asking ! and thanks so much ! how are you ? well at least you 're back ! ! ! you 're welcome , i 've been praying for you a lot ! i 'm good , could be better but its okay ! aww ! thanks so much ! i really appreciate it so much ! you are amazing ! ! hope it gets better for you soon ! = you 're more than welcome ! haha thanks girly ! we need to talk more now that you 're back , i really have missed you ! for sure ! ! you are awesome ! i could use some awesome in my life ! = awww you think i 'm awesome ? you 're too sweet ! you 're the awesome one ! & lt <number> newbigtimerush i dont think your awesome , i know your awesome ! ! ! d d awwwwwwww becca ! ! ! seriously you make me smile so much ! you are the best thanks so much ! & lt <number> newbigtimerush i am not the best cause you are the best , and if your the best then i most definitely cannot be ! you are amazing ! ! d d & lt <number> awwww stop it ! comeon now we all know who the amazing one is ! you ! & lt <number> newbigtimerush",0.4459700203,0,0,0,0,2,0.0087,0,0,0,0,2.5,0,0,0,0,0,0,6,0.0261,19,0.0826,18,0.0783,4,0.0174,2,0.0087,13,0.0565,5,0.0217,10,0.0435,7,0.0304,0,0,0.4732,conditional,0,0,0,0,0,0,0.5009,103,0.9994,230
goodmorning . hey ! ! ! ! ! ! ! ! ! ! ! hey how are ya good so far failing our tt idea but oh well i am trying . you ? yeah ppl r already trending something . maybe we can do it tonight . ill be on longer then . lol . haha oh yea ! ! i hope so ! i woke up & saw that jonas tt haha yeah im glad there is one finally . but we will so get to it this afternoon . lol . ill be on around4pm that would be so awesome ! & lt <number> joejonsnl yes ma 'am . joejonsnl has to trend tonight . it better haha joejonsnl haha ok im gonna go cuz igot some stuff to do so ill ttyl tonight . & lt <number> joejonsnl . alright ttyl & lt <number> joejonsnl ok im here u ready ?  me too but i got another tweet limit on there haha hahah nice . im gonna do my best not to get the limit . lol .  haha i had two already today trying to trend it omg bless ur heart . lol  haha it sucked right now i 'm watching nick on les mes & boring when they are not showing him haha hahah yeah i just really wanna see him sing empty chairs . lol .  your missing it it comes on at <number> here . i have <number> min . lol  ahhhh ok it started <number> but yet nick didn 't come on til <number> oh really ? wow a whole hour before he comes on . crap . lol joejonsnl  yea i had it on mute til he came on bahahah nice . ill prolly switch to another ch or something or stay on here til <number> . when does he sing empty chairs ?  idk haha i don 't think has yet hahah ok cool .  oooooh wow sweaty joe nothin better  these pics of je i found are hot .  oh yes good god he is fine  yes he is mm yummy  nick looked yummy today too i havent seen those pics yet . lol  <url> omg . o  omg what haha he is sooooo pretty . lol  yes he is ! ! ! hah ano doubt  he 's <number> hours from me haha,0.4230436805,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,11,0.0301,5,0.0137,24,0.0658,29,0.0795,2,0.0055,0,0,19,0.0521,2,0.0055,24,0.0658,6,0.0164,0,0,0.3816,conditional,0,0,0,0,0,0,0.622,184,0.9995,365
hows your life ? ahh gogo ! ! ! ! how are you ? my life is great how 's yours ? i am doing well just trying to finish up school . so you are in the <number> now ? yeppp ! ! are you graduating this year ? ?,0.401722879,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,1,0.0256,6,0.1538,6,0.1538,3,0.0769,0,0,3,0.0769,0,0,3,0.0769,0,0,0,0,1,indicative,0,0,0,0,0,0,0.75,33,0.8529,39
"alright , i need some help . i 'm going to list the songs i will be playing tonight at the acoustic show . i need <cont> <url> please do when you look me in the eyes after all this time , thats still my favorite",0.3910446365,0,0,0,0,2,0.0435,0,0,0,0,2.9,0,0,0,0,0,0,0,0,2,0.0435,4,0.087,0,0,1,0.0217,1,0.0217,2,0.0435,4,0.087,1,0.0217,0,0,0.5833,conditional,0,0,0,0,0,0,1,38,0.8689,46
"beliebers . just wanna have fun , is a teen ! d want to know more about justin bieber , his iq quiz 's "" 107 "" , omg . <url>",0.3835420641,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1,0.037,0,0,2,0.0741,2,0.0741,0,0,0,0,0,0,1,0.037,2,0.0741,0,0,0,0,0.4167,imperative,0,0,0,0,0,0,0.2333,26,0.5983,27
"hi , why is rowan atkinson aka mr bean following me ? is he even real ? ? nope if you mean rowan _ atkinson that 's a fake one .",0.3777131728,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,1,0.04,0,0,1,0.04,2,0.08,1,0.04,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,0.75,indicative,0,0,0,0,0,0,0.5219,22,-0.5632,25
haa i love you too ! & lt <number> and haa you have to earn them silly you 've already seen anyways ! o ahah jk . you wish .,0.3697079515,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1,0.0357,0,0,1,0.0357,1,0.0357,0,0,0,0,1,0.0357,1,0.0357,1,0.0357,0,0,0,0,0.25,imperative,0,0,0,0,0,0,0.7375,24,0.8585,28
if the bulls come back and will i 'm going to put on my freshly shinned bills helmet and ram a cab on the beach if the bulls i will dirty my ginch with excitement,0.3554261249,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0.0286,2,0.0571,0,0,0,0,4,0.1143,2,0.0571,4,0.1143,2,0.0571,0,0,0.5833,conditional,0,0,0,0,0,0,0.4333,26,0.0772,35
0 _ o rt i want a dildo but idk how i feel about fake penis . lol . hey hi secret wifey lol . supp ? chillin playin xbox like a nerd . you ? bout to watch lady gaga 's video again . i couldn 't get through half of it lol . i caught myself singing it the other day though lol lol . do you secretly love gaga ? bad romance is my shit . lol . i love this . women and their gaga . lol . i love her . she aight . she 's glory . so i decided if i ever meet you in person i 'm taking you out on a date,0.3474056466,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3,0.0297,0,0,6,0.0594,2,0.0198,1,0.0099,1,0.0099,6,0.0594,2,0.0198,6,0.0594,1,0.0099,0,0,0.3,indicative,0,0,0,0,0,0,0.6505,76,0.9921,101
"rainy monday , i 'm okay with you come up to at crossroads to celebrate new job ! will be there what time ? bobby and i will be there around <number> - i will also have to mapquest this place you speak of .  follow the scent of awesome oh so i should stay home ?  no ! well i 'm always awesome .  debatable ! muhuhahahah ! ugh . no winking lizard for me . evil man .  i kid , i kid . come enjoy the reds game if they are even playing <minor_speaker> isn 't your birthday . um . not right now ?  what ? ! didn 't you know ? !",0.3401968561,0,0,0,0,1,0.01,0,0,0,0,3.3,0,0,0,0,1,0.01,0,0,8,0.08,8,0.08,0,0,1,0.01,4,0.04,2,0.02,10,0.1,1,0.01,0,0,0.6618,conditional,0,0,0,0,0,0,0.6738,75,0.9028,100
"i want gerard way 's eyelashes ! ! ! d & lt <number> i want gerard way l haha , me too ! d him over chocolate any - day d haha , you are funny ! di have such a big chocolate overdose that i don 't even wanna think about chocolate anymore ! d i got vegan chocolate today but it 's so expensive , so i only got abit , almost finished it already d oh , i love vegan chocolates too , specially marcs and spencer vegan chocolates , but yes they really are expensive ! they do it at m & s ! o",0.3392345808,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,3,0.0319,0,0,9,0.0957,4,0.0426,0,0,0,0,5,0.0532,2,0.0213,3,0.0319,2,0.0213,0,0,0.1591,indicative,0,0,0,0,0,0,0.5429,65,0.9499,94
"im taking his milk and cookies . i gave him a chance to give em up , but now im jus stealin them shits . i like the sound of that",0.3359666499,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,3,0.1071,0,0,1,0.0357,2,0.0714,0,0,0,0,2,0.0714,0,0,3,0.1071,1,0.0357,0,0,-0.25,indicative,0,0,0,0,0,0,0.4,26,-0.1027,28
"did you delete smackdooooown ? i will actually kill you if you did . cody rhodes ! no we watchd half on laptop but quality was pooo . where are you willis | ! ! ! ? ? ? when are you home ? urm i dunnno , i 'm helping soph fix her internet what - your trying to fix something techonoligcal - oh dear ! ! ! ! whats up with it ? ? shutup i 'm actually well good at ict ! and i don 't even know ? were on our way home now your good at winding up your teacher in ict ! ! ! ha ha . mate come up , this bloody mystery pi game is stressing me out annnnd i 'll come up when mum and dad are back from walking zee dog ! and lollll i hate that game i sooo wana watch the hangover - but i dont have it on my laptop - damn ! ! ! ! ! ! ! imma dl 'in it now ! ! kk win - kin - so ha ha",0.3253834295,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,1,0.0066,2,0.0132,11,0.0724,12,0.0789,0,0,0,0,9,0.0592,1,0.0066,14,0.0921,1,0.0066,0,0,0.6786,conditional,0,0,0,0,0,0,0.4152,105,0.9621,152
"does anyone have good , editable footage of a preds standing o that i could borrow ? i swear i just read that as edible . there use to be clips on youtube that were pretty good .",0.3209274284,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,2,0.0588,5,0.1471,1,0.0294,0,0,1,0.0294,1,0.0294,4,0.1176,1,0.0294,1,0.0294,0,conditional,0,0,0,0,0,0,0.7333,29,0.8316,34
because the army is all what we have ! ! . we 've got to let them do their job quietly ! . yarabsallem i hate to trust someone or an institution too much . do u think i 'm paranoid ? & i have to trust them we have to remember that the army is one of the main reasons behind the success of the revolution,0.3179896868,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0.0333,0,0,1,0.0167,8,0.1333,1,0.0167,1,0.0167,2,0.0333,0,0,7,0.1167,1,0.0167,0,0,0.5,indicative,0,0,0,0,0,0,0.4111,41,0.7562,60
"<number> reasons why the term <heart> apples to apples <heart> pisses me off <url> insurance . so true ryan . great post thanks brent ! ryan , fyi i am still getting very condensed blog articles on the kindle . keep up the great work . i have emailed them and haven 't heard anything back . have you tried going to amazon . com and seeing if there is a faq on it ? i have not gone to amazon . i subscribe to another blog and it shows the full article . i will check . thanks . give it a day but i changed my feed from "" preview "" to "" full text "" . i think that was the issue . i was reading faq . great . i will check on it later today and let you know . i think the problem was i had my feed on "" preview "" . i changed the setting to full text . ryan , i now have your full posts on my kindle . thanks btw , i subscribe to pc360 and saw your article . i will tweet it later thanks brent ! i really appreciate it !",0.3146122303,0,0,0,0,1,0.0054,0,0,0,0,1.7,0,0,0,0,1,0.0054,1,0.0054,7,0.0376,14,0.0753,3,0.0161,1,0.0054,8,0.043,1,0.0054,15,0.0806,2,0.0108,1,0.0054,0.625,conditional,0,0,0,0,0,0,0.3765,97,0.9799,186
"at pinkberry with my pink princess enjoying a precious moment <url> - they are adorable , alma still speaks about emma bif sis . hugs",0.3132279604,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,1,0.04,0,0,2,0.08,1,0.04,0,0,0,0,0,0,0,0,3,0.12,0,0,0,0,0.4167,indicative,0,0,0,0,0,0,0.725,25,0.926,25
rip up tonight bred - give kb a cheeky jab <number> me haha i got ya lol slap his ghetto  a couple of tries will do and a few points to get my fantasy pointa up pls lol haha you know i got ya lol,0.3127817098,0,0,0,0,1,0.0213,0,0,0,0,14.6,0,0,0,0,1,0.0213,1,0.0213,0,0,2,0.0426,0,0,0,0,1,0.0213,0,0,4,0.0851,0,0,0,0,0.475,imperative,0,0,0,0,0,0,0.4571,38,0.936,47
crippled black phoenix to help the late journey home if battery lasts . you need emergency back - up music on your phone,0.3033247552,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,1,0.0455,0,0,0,0,0,0,1,0.0455,2,0.0909,3,0.1364,1,0.0455,0,0,0.25,indicative,0,0,0,0,0,0,0.3444,22,0.0258,22
maybe bigger than jb . haha jk . i 'm fan of her . she 's so awesome . hahahahahahahaha p just amazed . thinking of dudz ? oh yeah thanks because i got instant <number> followers thank you for those who had follow me . p,0.2987304774,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,2,0.0488,0,0,3,0.0732,1,0.0244,1,0.0244,0,0,2,0.0488,0,0,4,0.0976,1,0.0244,0,0,0,indicative,0,0,0,0,0,0,0.5333,38,0.9692,41
"thanks , u really my best friend on twitter sent you a dm , ok ? u sent my dm ? sent what ? it 's nothing weird , just wanted to let you know something in your dm 's . ok ?",0.2980117628,0,0,0,0,1,0.0303,0,0,0,0,-0.7,0,0,0,0,0,0,1,0.0303,2,0.0606,1,0.0303,0,0,0,0,0,0,1,0.0303,3,0.0909,0,0,0,0,0.35,indicative,0,0,0,0,0,0,0.5,25,0.9495,33
"awh schmidt ! i missed tweet spree again <heart> i did too d do you happen to know what his favorite cake is p like flavor vanilla , choclate etc p",0.2924412908,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,1,0.0323,0,0,2,0.0645,3,0.0968,0,0,0,0,0,0,0,0,1,0.0323,0,0,0,0,0.75,imperative,0,0,0,0,0,0,1,29,0.5562,31
today i start the lemonade fast day <number> i wonder if i will crack and eat food ironicly i have a meeting in the diner soon can i get a torture ! what are you doing ? ! lemonade fast ! for what purpose ? i feel wieght depressed why ? im in one if my moods since yesterday ur gonna have to acknowledge how you feel and do something that will boost your confidence so you can move on . ur a boost of confidence for me - no . you just need a little push in the right direction -,0.2919270523,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,2,0.0206,4,0.0412,10,0.1031,3,0.0309,2,0.0206,6,0.0619,3,0.0309,9,0.0928,3,0.0309,0,0,0.39,conditional,0,0,0,0,0,0,0.6271,68,0.6144,97
"i 'm planning a month long trip to europe , i know how much you love history and thought i 'd find <cont> <url> its got to be italy , florence gorgeous full of good stuff , rome of course , i could go on and on . more to follow aft vets yay you rock . italy is first on my list including venice and rome but will definitely add florence to it ! i like florence best , and of course there is the david to see which is to my mind the greatest artwork ever . now we 're definitely going there ! the boyfriend will just have to be persuaded to tag along to all the beautiful old places !",0.2897837585,0,0,0,0,1,0.0085,0,0,0,0,6.8,0,0,0,0,0,0,3,0.0256,8,0.0684,9,0.0769,1,0.0085,4,0.0342,6,0.0513,1,0.0085,16,0.1368,0,0,0,0,0.5985,conditional,0,0,0,0,0,0,0.5417,80,0.989,117
"is that an attempt at face - fuzz that i see ? <url> i saw that , yeah ! he 's got a sort of goatee thing going on . gp2beardwatch",0.2874428709,0,0,0,0,0,0,1,0.0357,0,0,-0.7,0,0,0,0,1,0.0357,0,0,0,0,1,0.0357,0,0,0,0,0,0,0,0,3,0.1071,1,0.0357,0,0,0.5,indicative,0,0,0,0,0,0,0,25,0.3595,28
russell crowe . amazing actor and good person . perfect . i am sure . - are you going to the royal wedding next friday capt ? lol justasking,0.2845005967,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,2,0.0833,0,0,0,0,1,0.0417,0,0,1,0.0417,0,0,0,0,1,imperative,0,0,0,0,0,0,0.6815,24,0.9382,24
"memorial weekend dream trip . two races , two cities , one day ! go to pennzoil . com and click promotions to enter "" shift to clean "" sweeps hey shell - get me a shell card with kurt busch on it and i 'm a customer !",0.282649385,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0465,0,0,5,0.1163,0,0,1,0.0233,0.75,indicative,0,0,0,0,0,0,0.7,36,0.6467,43
"what 's g ? whats poppn , where u been my nigga ? i must of been under a rock and ish . i know you still got plentybars letswork i 'm ready , what did u have in mind u gotta track already ? well we can scan thru a few joints i 'm workin on , or take the traditional route n pen one down",0.2725833114,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,3,0.05,7,0.1167,0,0,1,0.0167,2,0.0333,1,0.0167,6,0.1,1,0.0167,1,0.0167,0.5357,indicative,0,0,0,0,0,0,0.4097,50,0.6298,60
"good morning tweeps ! what 's on your platter today ? a date with a loved one , a spring party invitation and oh . a root canal operation o _ o",0.2603353981,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.037,0,0,2,0.0741,0,0,0,0,1,indicative,0,0,0,0,0,0,0.7,23,0.8687,27
"can someone tell me why some of unreleased songs or demo work trumps most mainstream music that 's released ? cause you know how music is in today 's world all too well . . and heeey ! how 's life ? it could all be so simple , but . you rather make it hard ah ardd . lol",0.2589945204,0,0,0,0,1,0.0204,0,0,0,0,2.5,0,0,0,0,0,0,0,0,6,0.1224,4,0.0816,4,0.0816,2,0.0408,6,0.1224,2,0.0408,2,0.0408,3,0.0612,0,0,0.1538,conditional,0,0,0,0,0,0,0.5247,44,0.6488,49
