sentence	bias_score	assertive_verb_count	assertive_verb_prop	bias_count	bias_prop	coherence_marker_count	coherence_marker_prop	degree_modifier_count	degree_modifier_prop	factive_verb_count	factive_verb_prop	flesch-kincaid_grade_level	hedge_word_count	hedge_word_prop	implicative_verb_count	implicative_verb_prop	liwc_3rd_person_pronoum_count	liwc_3rd_person_pronoun_prop	liwc_achievement_word_count	liwc_achievement_word_prop	liwc_adverb_count	liwc_adverb_prop	liwc_auxiliary_verb_count	liwc_auxiliary_verb_prop	liwc_causation_word_count	liwc_causation_word_prop	liwc_certainty_word_count	liwc_certainty_word_prop	liwc_conjunction_count	liwc_conjunction_prop	liwc_discrepency_word_count	liwc_discrepency_word_prop	liwc_preposition_count	liwc_preposition_prop	liwc_tentative_word_count	liwc_tentative_word_prop	liwc_work_word_count	liwc_work_word_prop	modality	mood	opinion_count	opinion_prop	subjective_strong_count	subjective_strong_prop	subjective_weak_count	subjective_weak_prop	subjectivity_score	unique_word_count	vader_composite_sentiment	word_count
poke trying to remember if i asked if you were ppc or i386 tivo series 1 , eh ? remember to firewall the tivo , eh ? yeah , series 1 h8 that debconf should be configurable to not mail . what kind of puppies ? awesome yeah , its working out pretty well we might break a bit over even since theres 8( ! ) puppies . we were hoping for at least 5 and i assume you did the right thing and pre-sold based on availability , yes ?	0.5977503893	0	0	0	0	1	0.0125	1	0.0125	0	0	4.8	0	0	0	0	0	0	1	0.0125	3	0.0375	7	0.0875	2	0.025	0	0	5	0.0625	4	0.05	10	0.125	6	0.075	0	0	0.25	indicative	0	0	0	0	0	0	0.806	64	0.9418	80
compiz on which release ? 11.10 thanks .... i'm looking for feedback on compiz for 12.04	0.5955366258	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.25	0	0	1	0.0625	0.75	indicative	0	0	0	0	0	0	0.2	13	0.4404	16
my ssh connection keeps dropping . is screen/tmux gonna make this less annoying ? or are they going to hang when my connection drops ? you'll be able to reattach after you reconnect your session awesome . any major differences between the two if i'm only using them to keep a persistent session ?	0.5950809835	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	2	0.0385	0	0	2	0.0385	3	0.0577	2	0.0385	0	0	3	0.0577	1	0.0192	5	0.0962	3	0.0577	0	0	0.55	indicative	0	0	0	0	0	0	0.6819	46	0.4995	52
we need to make sure that cdroms ( and other removable media ) do not end up in fstab all removable media needs to be handled by pmount , which will refuse to mount anything in fstab ( for good reason ) presumably i should make the same **unknown** change in **unknown** ? yes done ( was the actual option change in sysvinit , or somewhere else ? ) sysvinit usplash will also check for it and not display if it isn't there sysvinit is already changed ( at least the package is uploaded ) the patch as posted is wrong , but i've tested with a similar change and it 's fine if it works , can you patch it and upload it ? sure , let 's make it tomorrow though :-)	0.585928186	0	0	0	0	1	0.0079	0	0	0	0	12.2	0	0	0	0	0	0	1	0.0079	3	0.0236	13	0.1024	7	0.0551	1	0.0079	11	0.0866	5	0.0394	14	0.1102	5	0.0394	2	0.0157	0.47	conditional	0	0	0	0	0	0	0.5675	83	0.857	127
if they have i mean :) filesystem size used avail use% mounted on /dev/sda5 12g 7.5 g 1.6 g 83% / apparanly not :) i looked at the size and used , not avail . wtf i'll investigate *argh* idiotic if i do df -h . i get 7.3 gigs free if i do df -h / i get 1.3 gigs free same partition , and i have done a reboot since cleaning . still , this is obviously the encfs , i shoudl be able to find something on google now . i hope probably . is mounted wouldn't a reboot fix that ? fix what ? the free space issue i'm having with encfs if its a mounted folder that you didnt manually mount , its probably in your fstab and will remount when you reboot idk about that i joined towards the end of your issue	0.5645917072	0	0	0	0	1	0.007	0	0	0	0	3.3	0	0	0	0	1	0.007	0	0	6	0.0423	12	0.0845	4	0.0282	0	0	8	0.0563	6	0.0423	9	0.0634	7	0.0493	0	0	0.5167	conditional	0	0	0	0	0	0	0.7428	90	0.9534	142
"yes , they're very useful to sudo **unknown** **unknown** ) *g* netapplet disappointed me somewhat how so ? didn't you remove "" suspend "" from the battery applet ? see seth 's post about networkmanager on ddl ? but the nc4010 has working wifi < g > remember , anything 's better than that toilet seat of his < g > in this case i'm not sure i agree and what time ( gmt ) did you get up ? :p hrm , yeah . that 's a bug *g* i'm at the "" need more walls to put more shelves on "" stage :-/ yeah yeah , i'm usually up by then talk to your pet evo hacker about it :p he does exchange stuff mostly , iirc came up with syndicate i'm only going if i get knocked out by being snogged by some cute thing called safron heh ah , you uploaded them ... that explains it then"	0.5617895596	0	0	0	0	1	0.0065	0	0	0	0	6	0	0	0	0	4	0.0261	1	0.0065	8	0.0523	5	0.0327	1	0.0065	0	0	7	0.0458	2	0.0131	20	0.1307	6	0.0392	0	0	0.5481	indicative	0	0	0	0	0	0	0.6523	114	0.9411	153
has 2 questions , somebody with some ideas here perhaps ? sorry i've not idea of the problem , and people seems to be more interested by the gnome-cups leak here :) do i must to use the daily cd instaed ? no pb no , sounder 7 should be fine ... and about the installer pb we discussed ? did i must report the pb to debian or to bugs . nny . i have to make an install report ? better to do if possible yes oky	0.5595204835	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0.0123	4	0.0494	10	0.1235	2	0.0247	2	0.0247	4	0.0494	4	0.0494	10	0.1235	5	0.0617	0	0	0.4821	conditional	0	0	0	0	0	0	0.625	60	0.676	81
"from the update manager > settings , change the release type to any release , then check again for an upgrade . now it says "" new ubuntu release 10.10 is available "", but not 12.04 right , you must upgrade to 10.10 and the next one until you get the option for 12.04 , but first make sure you update any packages that is shown in the updae manager , then go for the upgrade but i was told above that i can to an upgrade to 12.04 directly , and i specifically asked if that was correct .... and if i needed to upgrade to some intermediate release first so do i get it right , is an upgrade from 10.04 lts to 12.04 lts definitely impossible ? oh , right it 's in your case since you're running an lts . so yes but it does not work ... i guess it is because of what christoph_vw quoted ? i have to wait for the point release ? if not , then yes as christoph_vw mentioned above ."	0.5592982386	0	0	0	0	3	0.0181	0	0	0	0	3.7	0	0	0	0	0	0	2	0.012	5	0.0301	11	0.0663	4	0.0241	3	0.0181	18	0.1084	5	0.0301	22	0.1325	8	0.0482	0	0	0.6111	conditional	0	0	0	0	0	0	0.4321	87	0.9812	166
yes released no . if this is the popularity of ubuntu , no offence i am kinda new to linux trying to learn , wont the server be overly crowded if this is the popularity of ubuntu , no offence i am kinda new to linux trying to learn , wont the server be overly crowded mirrors and torrents will be in action	0.5304908192	0	0	0	0	0	0	0	0	0	0	12.2	0	0	0	0	0	0	2	0.0345	0	0	10	0.1724	0	0	0	0	3	0.0517	2	0.0345	7	0.1207	4	0.069	0	0	0.75	conditional	0	0	0	0	0	0	0.3364	30	-0.0258	58
is there truth to that ? what are the advantages of 64-bit ? is it any faster ? not exactly but 64bit systems then to be more fat in resources ... 12.04 ships with unity 5 . x , so yeah way cool ()	0.526768508	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	2	0.05	4	0.1	0	0	0	0	3	0.075	0	0	5	0.125	1	0.025	1	0.025	0.8125	indicative	0	0	0	0	0	0	0.4667	38	0.8775	40
hello , how can i copy a file from a remote host if you have ssh access you can use scp or sftp scp don't work for me he don't found the host can i use pastebin or some thing like that well to gain access to another host the name must resolve using dns , the host must be running the ssh server , and the firewalls must allow access how will you write the command when the user on a windows domain if the system holding the file is windows , you can't usually use ssh ( scp/sftp ) unless that server had an ssh server installed . you'll have to find another way ... probably using a windows share on the server and samba on the ubuntu pc i can shh to the machine , that 's not the problem if you can ssh you should be able to scp too !	0.5163336176	0	0	0	0	0	0	0	0	0	0	17.3	0	0	0	0	1	0.0066	0	0	7	0.0464	18	0.1192	7	0.0464	3	0.0199	11	0.0728	7	0.0464	11	0.0728	8	0.053	0	0	0.364	conditional	0	0	0	0	0	0	0.3583	83	0.9354	151
i need libqt4-dev so i went hunting in the software center for it . never popped up with a few different searh terms i used , but sudo apt-get install libqt4-dev worked fine . i wonder how many other packages don't show up when i'm hunting . apt-cache search libqt4-dev i meant in the software center though . i'll go in wondering if there might be any such and such , now i think that everything 's not showing up  before i just figured it wasn't there . software center isn't good for what you're trying to do . if you really want a gui that can accomplish that sort of thing try installing synaptic and using that . nice :-)	0.5049583673	0	0	0	0	0	0	1	0.0085	0	0	5.6	0	0	0	0	0	0	3	0.0254	11	0.0932	7	0.0593	3	0.0254	1	0.0085	9	0.0763	4	0.0339	12	0.1017	7	0.0593	1	0.0085	0.1204	conditional	0	0	0	0	0	0	0.4411	84	0.8842	118
hey warthogs should i have instant auto-mounting usb drive **unknown** happiness ? actually yes , if you use the latest packages i just tried it myself , does not work for me either . funny , it worked with **unknown** 's test package what do you use for testing ? i . e . what kind of device ? flash card watch , i think keybuk and daf have the same usb ? ah , i remember daf 's one . i did not test it at the conference yess does it have partitions ? ( or , at least , one ? ) yes hmm . seems like hal still needs a lot of work . can you see the thing in hal-device-manager ? there should be a device node with a proper name with a child node which is a volume yes that 's the device node . does it have any children , which are volumes ? with a rectangular gray box as icon the volumes should have a property block . **unknown** sorry , block . **unknown** is it 1 ? can you pmount it manually ? i . e . ' pmount /dev/sda1 ' ( it is sda1 , i suppose ) btw , do your hotplug usb drives finally work automatically ? last time we did not come to debug it . they are getting mounted correctly now , but nautilus isn't popping up to display the files does the device appear in the computer window ? it *could* be today 's update , depending on the type of device you have . but it 's good to hear that it works now works now , didn't this morning :-) good morning ! say , could you life with having icons at the desktop for automounted volumes ? ( see sounder ml ) no thanks icon in the panel ? yes , much better imho this is the only other sane approach imho its quite important to have an obvious and safe unmounting possibility , but bug fixing is important as well . no precedence on my side since i'm quite unfamiliar with gnome programming , i would rather concentrate on bug fixing and security review and have e.g. seb or npmccallum do this thing	0.4979044926	0	0	0	0	2	0.006	1	0.003	0	0	5.6	0	0	0	0	1	0.003	5	0.0151	10	0.0302	36	0.1088	4	0.0121	0	0	12	0.0363	8	0.0242	29	0.0876	11	0.0332	6	0.0181	0.2598	conditional	0	0	0	0	0	0	0.5975	187	0.9867	331
the c3 , dude ping pong is **unknown** a sane kde dude ? yeah he seems to be , at any rate so who do you reckon i should start talking to about kubuntu ? i don't know if mornfall or ervin have tried it  they seemed quite busy . have they emailed you ? i think **unknown** could quite well be a sane kubuntu seed blardy hell . :\ yeah , i think that could be good did you speak to him at akademy ? actually , no  go figure intriguing so did akademy keep the kde flame burning inside your heart ? the pilot light was out , and it didn't even provide a bit of gas the discussion about the control centre was classic . they were talking about doing **unknown** on it , and i put my hand up and pointed out that even when i was hacking on it , it still took me 5 minutes to find what i want , and got a bit of scorn for that are you coming up for **unknown** ? yeah , probably just for the day though that 's probably fun with framebuffers acpi=force yeah , it says that right next to it ... but i don't think i want to :)	0.4926446424	0	0	0	0	2	0.0101	0	0	0	0	5.2	0	0	0	0	5	0.0253	1	0.0051	15	0.0758	21	0.1061	0	0	0	0	11	0.0556	6	0.0303	24	0.1212	9	0.0455	1	0.0051	0.1467	conditional	0	0	0	0	0	0	0.4935	118	0.8737	198
"? in fact jdub said him that today was a good day to come k the entire menu ? nice :d that 's a sub-menu of applications dude :) heh , if i didn't have enough with gtk and nautilus for "" big uploads i need to do "", i just did abiword to complete the set :) yeah , still :) yes , i've seen that but i've not seen the nautilus one do you need some help for the uploads ? i guess i can manage , but if i haven't done them by tomorrow at 17:00 i guess you could do one of gtk or nautilus ok , just let me know what 's wrong with the suspend bit ? what ? do you know how to apply a patch to openoffice package in a proper way ? :) i'm leaving this stupid place in 1 minute or #debian-oo ok we don't have any gnome soft good for this"	0.4880732186	0	0	0	0	2	0.0128	0	0	0	0	9.9	0	0	0	0	2	0.0128	0	0	4	0.0256	15	0.0962	1	0.0064	2	0.0128	8	0.0513	5	0.0321	17	0.109	8	0.0513	0	0	0.3788	conditional	0	0	0	0	0	0	0.6574	95	0.9383	156
right click on the desktop is not working for me nautilus manages the desktop ? the icons are displayed ? opening a dir on the desktop works ? nothing hi ok thanks are the wifi / battery percentages disabled by default now ? apparently no , they should ? correct great work on the gnome packages , thank you ! yes , apparently they are the same ... why ? superb work last night thanks what format are the app icons in ? png most of the time size ? svg ok ? let me check the icon is a 48x48 png file , i've not tested with a svg one , but it should work	0.4877696696	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	2	0.0196	1	0.0098	3	0.0294	9	0.0882	1	0.0098	0	0	1	0.0098	2	0.0196	8	0.0784	3	0.0294	2	0.0196	0.3333	conditional	0	0	0	0	0	0	0.4136	71	0.6197	102
i think the scary artwork was planning to arrive once they'd posed the actual models , rather than the stock footage they used in the mockups ... any news from the x buildd front ? **unknown** is installed on all 3 good .. i was more thinking about the mime stuff :-) thought about it afterwards - i need to rewrite some perl code into python to fix it , that'll happen sometime soon , but today isn't very likely can you give it a kick later **unknown** ? you can upgrade , but if you do so , either you do echo >> /etc/x11/xf86config are you on ubuntu10 ? ubuntu9 was broken . please upgrade ubuntu10 i have been working 14 hours yesterday to fix all the -reconfigure /upgrade thingy you need only xserver-xfree86 and xserver-common from ubuntu10 but i have 9 and a working x config ... is -11 due anytime soon ? dpkg-reconfigure won't work and it will smash your config probably today or tomorrow yeah - i noticed . but vi works .. cool well it 's enough you add a line at the end of the file actually i was thinking to do it in the next 2/3 days see why ? there will be an ubuntu12 at least but not that urgent btw , i had to bump up the hsync/vsync to get my monitor happy please can you give me a bit more details ? you're assuming that i remember what i changed ??? ok hold on a sec ... can you do the tests in order as i described them to sounder@ ? sure .. gotta go find which mail they're in ... yup noticed upgrading from **unknown** to **unknown** , which was , of course , broken . but we knew that there is ubuntu11 out . please use it yeah , i have 11 where i can upgrade easily of course , i really don't want to restart x ... which of the many mails from you to sounder@ has the test sequence ?	0.4767622819	0	0	0	0	3	0.0091	0	0	0	0	5.6	0	0	0	0	4	0.0121	2	0.006	15	0.0453	29	0.0876	4	0.0121	2	0.006	13	0.0393	5	0.0151	35	0.1057	7	0.0211	4	0.0121	0.503	indicative	0	0	0	0	0	0	0.5434	190	0.9735	331
what you looking for linuxuz3r ? no i mean are you looking for a spefic program ? im not sure if there is anything better then sourceforge no particular program , anything that interest me then contribute to the source i wanna learn how to read code there is one that escapes me at the moment most people use sourceforge	0.4758061372	0	0	0	0	2	0.0345	0	0	0	0	9.5	0	0	0	0	0	0	1	0.0172	3	0.0517	4	0.069	2	0.0345	0	0	4	0.069	1	0.0172	5	0.0862	4	0.069	1	0.0172	0.4531	indicative	0	0	0	0	0	0	0.5819	43	0.3395	58
hi . i downloaded the . deb for an alternate broadcom driver after checking the error message from being unable to connect . how do i place it so that additional drivers installs from that deb instead of trying to download ? thanks . you dont as far as i know . install the deb . hope it works so what can i do ? before i could only get online if i booted into windows first , but thanks to a file somehow magically corrupting ( ??? ) i'll have to wait until i can get a working cd drive ... boot from usb perhaps i imagine it does a simple apt-get install whatwver	0.4612921429	0	0	0	0	1	0.0094	0	0	0	0	5.2	0	0	0	0	0	0	4	0.0377	7	0.066	9	0.0849	1	0.0094	0	0	8	0.0755	3	0.0283	15	0.1415	4	0.0377	1	0.0094	0.2045	conditional	0	0	0	0	0	0	0.5101	77	0.782	106
hi all ! congrats with the 12.04 release ! i installed 12.04 beta 2 a week ago . will i need to upgrade this to the final 12.04 or is it the same ? i think you should upgrade should i upgrade by waiting for the automatical upgrade via the update manager , or should i reinstall ?	0.4586399046	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	5	0.0962	0	0	1	0.0192	2	0.0385	4	0.0769	5	0.0962	2	0.0385	0	0	0.3438	indicative	0	0	0	0	0	0	0.5625	35	0.6535	52
436 pkgs to upgrade if you could pastebin fdisk -l -u , it'd help if you have fast speed then you can upgrade in short time , if not then it takes longer time and pastebin mount and your /etc/fstab i'm more concerned with stuff breaking never had issue in past while upgrading	0.4496369049	0	0	0	0	2	0.0377	0	0	0	0	19.6	0	0	0	0	0	0	0	0	0	0	4	0.0755	0	0	1	0.0189	8	0.1509	4	0.0755	4	0.0755	3	0.0566	0	0	0.35	conditional	0	0	0	0	0	0	0.4125	42	0.4019	53
monkeydust it hangs after sometime , do-release-upgrade -d do not use the -d swtich then you need to make sure that your computer is up to date with apt-get update/upgrade/dist-upgrade first ok you can't upgrade from 10.10 to 12.04 . you'd need to go through 11.04 and 11.10 first .	0.4473081865	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0.0408	0	0	2	0.0408	2	0.0408	0	0	2	0.0408	2	0.0408	8	0.1633	1	0.0204	0	0	0.5	indicative	0	0	0	0	0	0	0.5139	41	0.5423	49
here ? and getting new requirements all the time ! hey we want dynamic changes for the documents place ? what changes ? oh , the special documents icon in nautilus ? yes , i've it working with test on nautilus startup and gconf key but dynamic changes according to the real fs need to monitor home all the time apparently	0.4429319758	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	2	0.0364	0	0	3	0.0545	2	0.0364	3	0.0545	2	0.0364	6	0.1091	1	0.0182	1	0.0182	0.4583	indicative	0	0	0	0	0	0	0.4299	42	0.852	55
party hurray like i said overcrowded can ubuntu get leaked before being officially launched hi bazhang i read a pdf linux vs windows ok fl1bbl3 do you have a link to that pdf ? ^ if you could upload the file somewhere , i'd like the pdf	0.4411488741	0	0	0	0	0	0	0	0	0	0	8.3	0	0	0	0	0	0	0	0	0	0	5	0.1087	0	0	0	0	1	0.0217	2	0.0435	2	0.0435	1	0.0217	1	0.0217	0.25	conditional	0	0	0	0	0	0	0.5	38	0.8957	46
what is the review of ubuntu 12.04 should i upgrade from 11.10 ??? 12.04 works . personally , i only install lts monkeydust : what does lts really means ?? is it more stable ?? what does lts really means ?? is it more stable ?? not as bleeding edge and more effort is put into development and maintenance over the long haul .	0.4391881385	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	1	0.0182	3	0.0545	7	0.1273	0	0	0	0	3	0.0545	1	0.0182	5	0.0909	0	0	1	0.0182	0.5682	conditional	0	0	0	0	0	0	0.4714	37	0.9144	55
