sentences,bias,subjectivity,vader,flesch-kincaid
all right.  so who stands to gain if jordan flames out in a big way? the e-ringers?  full integration is gonna cost the services billions at the worst possible time -- when congress is already swinging the axe. congress cuts military bleeds.  but pentagon's a big place.  let's narrow the sights. the navy?  they've made it clear they don't want to pull missiles out of subs to make room for women's heads.  what's it gonna cost to make a fleet of trident's co-ed? sabotage born of economics? wouldn't be a first.  but is hayes really going to start his watch with such a public failure? possibly.  just to spite dehaven. hmm.  let's aim higher.,-0.20535418483,0.4418,-0.9402,3.3
alvy i... what-what-what-what's the matter? i-you know i don't wanna. what-what-i don't... it's not natural! we're sleeping in a bed together. you know it's been a long time. i know well it's just that- you know i mean i-i-i-i gotta sing tomorrow night so i have to rest my voice. it's always some kind of an excuse. it's- you know you used to think that i was very sexy. what... when we first started going out we had sex constantly... we're-we're probably listed in the guinness book of world records. i know. well alvy it'll pass it'll pass it's just that i'm going through a phase that's all. m'm. i mean you've been married before you know how things can get. you were very hot for allison at first.,0.20433284686,0.5313,0.8558,2.1
what happened? they don't know. they were having some recreation deal out at knott's berry farm and kristen wasn't there when they got back to the bus and they couldn't find her.,0.8716865112,0.0,0.0,4.8
ellen? what? the new store? honey i told you.  if it makes you happy we should just do it. it's a tremendous amount of work -- moving. we can do it together.,0.31499811132,0.8182,0.6416,0.9
he should have kept his head tucked down. shut up!!! i'm not putting him down i just have a commitment to the truth.,1.17145979035,0.2889,0.6981,1.7
i came here.  i had no money.  i knew no one.  i couldn't get a job because you have to have a green card to get work. they approached me - i could've made a lot of money.  i considered it but... it's not who i am.  they pay me below the table at ludwig's. so you were never a prostitute? what are you asking me? i'm just trying to find out who you are.,-0.32882363276,0.3,-0.6322,0.9
that ship saved my life a few times.  it's the fastest hunk of machinery in the galaxy.  what's wrong with her? hyperdrive. i'll have my people get to work on it right away.  hate the thought of the millennium falcon without her heart.,-0.13270253873,0.6089,-0.6124,2.9
mmm.  well good luck miss daniels. thank you.,0.1779863977,0.6,0.836,-1.8
i was just asking... shut up or i'll tear you apart.,0.18265090935,0.0,0.0,-0.7
my window - - through which i see the world. it's beautiful -- that searchlight - the stars -- it's not a searchlight  it's a sword blade cutting the blue cloak of a prince - not stars -- jason i'm going back to highcliffe. i came to say good-by.,-0.05224117881,0.5,0.5267,4.0
uhuh uhuh what's i tell ya? that sick piece of shit was a stone cold psycho. you could've asked the cop if you didn't just kill him. he talked about what he was going to do when he was slicing him up.,0.58327687461,0.8857,-0.4874,1.3
good.  so shall we leave it at that then? i've already left it you pathetic rebound fuck!  now get your patchouli stink out of my store.,-0.60685343244,0.55,-0.8297,1.7
cooper... yeah?...,-0.170820825,0.0,0.0,1.7
it throws the entire death list out of whack.  and a new list has to be rewritten from scratch.  we all start over with a clean slate. it sounds all well and good but what if we're wrong?,-0.08297266197,0.6559,-0.5023,0.9
what... behold my glory. what... are you? i am the clitoris.,-0.11137136039,0.0,0.5423,1.7
they don't want to come down. why not?,1.04330391619,0.2889,-0.0572,-0.7
what are you doing? high five. put your hand down. i don't high five.,0.00090855073,0.4563,0.4939,-2.2
look i know you're upset.  i'm really sorry honey.  i raced home as quick-- it's okay don't bother harry.,-0.19383861134,0.6667,-0.0662,3.3
so what do you say? can we be friends? ...okay.,-0.15651132851,0.0,0.5362,-1.8
my hair's getting wet! so's mine.,-0.429038075,0.4,0.0,-0.3
thanks for the loan man.  i'll have it in a few days i promise. well i hope so.  that pretty much cleaned me out. i would have asked my sister but its better to leave family out always leads to trouble. i hear you.,0.43142721621,0.3667,0.746,1.3
but you haven't any actual proof and you know it. this isn't germany or occupied france. all you can do is fine him a few thousand francs and give him thirty days. you might as well let him go now. ricky i'd advise you not to be too interested in what happens to laszlo. if by any chance you were to help him escape -- -- what makes you think i'd stick my neck out for laszlo? because one you've bet ten thousand francs he'd escape. two you have the letters of transit now don't bother to deny it. and well you might do it simply because you don't like strasser's looks. as a matter of fact i don't like him either. well they're all excellent reasons. don't count too much on my friendship ricky. in this matter i'm powerless. besides i might lose ten thousand francs. you're not very subtle but you are effective. i i get the point. yes i have the letters but i intend using them myself. i'm leaving casablanca on tonight's plane the last plane. huh? and i'm taking a friend with me. one you'll appreciate. what friend? ilsa lund.  that ought to put your mind to rest about my helping laszlo escape. the last man i want to see in america. you didn't come here to tell me this. you have the letters of transit. you can fill in your name and hers and leave any time you please. why are you interested in what happens to laszlo?,0.53350719239,0.365,0.9952,3.3
not without my effects. we need to go!,0.0844646625,0.0,0.0,-1.0
no! it bit me!,-0.18719017288,0.0,-0.4184,-5.8
see this is why we're not watching those news reports. people get obsessed.  i'm letting go now. no dad!,-0.34209818982,1.0,-0.4926,2.1
it's no use.  they won't come into the lagoon. well then can you have them jump to the camera over here? wait a minute.  these aren't kangaroos mr. hutton.  they're dolphins. i thought they were clever. i can have them walk backwards. no no.  that won't do. i told you something's upset them. well i have to get this into the networks.  if you can't do it you can't do it that's all. i'm sorry. well we'll just try again dear. keep working on it.  maybe you'll get it one of these years.  pack up boys.  flipper's a flop.,0.29788665321,0.9167,0.0,0.9
please...help me... dad?,-0.170820825,0.0,0.0,3.3
that girl she works at the casino -- -- i don't care about her. of course i was angry. but not with you. the book is yours not mine. i was wrong what i said about it. i hurt you didn't i? you're entitled to your opinion. it's none of my business what you write. and your job that's none of my business either. i love you. and i've done everything wrong.,0.34900797302,0.85,0.6695,0.9
"""""""we're a breed apart and we make no sense""""...? in your particular case miss i would make some allowance... thank you so much.""",-0.08981859171,0.2667,-0.0772,3.7
that's mighty brave of you reverend. i reckon it's been ordained this way brother spoon. didn't -- didn't she leave no word? a scrawl. on a piece of notepaper on the bureau.,0.30555444318,0.95,0.6636,2.5
here's three months rent and a ten spot for no more questions and to keep an eye on his place.  now i need a moment alone. huh? take a hike.  am-scray. huh?  oh sure.  just pull the door shut when you leave.,-0.0567896803,0.463,-0.3527,1.3
you look way out there. out past the date line. west becomes east all things change. you cross the line...today becomes yesterday...or tomorrow i forget which. that's what i want. of course the line's just imaginary. you can cross it twenty times...nothing really changes.,-0.25369654442,0.1125,-0.1531,3.7
is there much more of this torture? that's charles' study.  but you don't have to even look in there. he'll love whatever you do to it.  he's such a sheep. oh as long as we're here...,0.4517318323,0.5,0.589,0.9
i wouldn't do that son. they're probably on to the next buffet by now. there's a retirement home up the road. they'd be easy.,0.67095362107,0.4167,0.4404,2.1
eve was incredibly modest. she insisted that no credit was due her that lloyd felt as he did only because she read lines exactly as he had written them. the implication being that i have not been reading them as written. to the best of my recollection neither your name nor your performance entered the conversation.,1.13040006946,0.565,0.6808,6.4
you remember nothing?  who you are? what you've done? you know something about me? ah that would be cheating wouldn't it?  is there nothing <u>you</u> remember?  not even a detail?   you must try. you think i haven't been trying!  it's like there was never anything there.  just water. water? waves...  a beach.  a woman whispering.  that's all.  i need to stay awake.  do you have any pills?,-0.07759519971,0.0,-0.5191,1.7
the silver knight. soul of honor--on a tight-rope. what do i play? you play--left field. frankly kid--are you goofy? diz--don quixote with bill is going to get to his feet in a minute and speak two important words--*willet creek*. when that happens--if my hunch is right--the silver knight will fall off his tightrope and puss will jump out of his boots.,0.42197084405,1.0,0.5514,2.9
go die asshole! get a job!,-0.27425442816,0.0,-0.6688,-0.3
how can i go on? i feel so... responsible. kid the plain fact is...you are. i'm not gonna stand here and blow sunshine up your ass. technically they absolved you. you and i know what really happened. you pushed it. you are responsible and you'll always carry that. you know what i'll carry it too. i should have taken you out of that cockpit. i guess i'm a hopeless romantic... i always try to find something worthwhile in someone's death. it's no trade-off. it's not one for one. what you learned isn't worth his death. it couldn't be. but maybe there is some value in it. i know it's the first thing i've ever seen that's really gotten to you. now the question is what will you do with it. if it gets you out of flight status...so you don't kill yourself or anybody else...that's good. that's one good thing. you were an accident waiting to happen. you think i shouldn't fly. i didn't say that. that's up to you. i think that if you do if you choose to come back you'll be a better pilot... a better man. would you take me back? would they? i'll have to think about it. i don't know about them. i do know one thing we've got a lot invested in you. we'd hate to lose it. even more than those other guys naval aviation needs a very few very good men.,0.59408324845,0.4171,0.9188,1.3
is it a bomb?  a booby trap?  tell me! stop please! i don't know! prepare a tear harness for the female... no! i swear i don't know! please! do you think i'm a fool? that the commander does not know every bolt every weld of his ship?,-0.7322751982,0.1667,-0.8892,0.9
oh captain my captain we came here so i could talk to you about something. okay. actually i'd like to talk to you alone.,-0.0140851552,0.3,0.34,4.4
who are you? i think you know. your eyes say you do. [beat] you're his son? no. i'm not his son. i'm him. [beat] what? you look like you've seen a ghost. you can come here and touch me old man. i'm the real thing. how...how are you here?,0.12607915245,0.25,-0.4515,-1.8
maybe maybe we can adopt a child. he said you could adopt one-- well what about artificial insemination? what are you talking about? you know where i-i-i would get implanted from a-a donor. what by a st-stranger?,0.48016999869,1.0,0.6174,3.7
can i pour you one? thanks but i've got to be going. unfortunately doc this isn't a social visit.,-0.57963714422,0.4222,-0.2846,2.1
not my birthday again? you're only six-five once. thank god.  now could we go?  let's get this day started.,0.01656214739,1.0,0.6072,1.3
are you a fag? you're the faggot.,-0.32599229232,0.0,-0.8176,0.9
one moment. tonight i'll be selling those for more money than even i have ever dreamed of and then addio casablanca! you know rick i have many friends in casablanca but somehow just because you despise me you're the only one i trust. will you keep these for me? please. for how long? perhaps an hour perhaps a little longer. i don't want them here overnight. don't be afraid of that. please keep them for me. thank you. i knew i could trust you.,0.47352363128,0.6333,0.9566,3.3
you weren't supposed to relieve me. i know but i felt like taking a shift.,0.02991426063,0.0,0.4009,2.5
do you see a man? no. no man!  <u>go to your room</u>.,-0.36925361449,0.0,-0.5707,-0.3
michael just got a job.    couldn't you congratulate him? i will dear. i promise.  why mcdonald's? he's been looking everywhere for weeks mom.   it's not that easy after you've been locked away.,0.44280257053,0.8333,-0.1265,3.3
you want to skip fourth period and go to the ridge? what's wrong with you? what do you mean?,-0.56947604093,0.5292,-0.5171,-1.4
where are you going? just out for a while. i told you i want that room unpacked. oh come on dad... no.  upstairs.,-0.35790190538,0.0,-0.2263,0.5
"""you're in one hell of a jam.  you realize that? i'm high as a kite. glands.  you're supposed to be happy when you die.  call me comical again. you're a clown.  you're a clown who kills--but you're a clown. i love you!  have a cigar! evolution has made you a clown-- with a cigar.  simple butchers like you are obsolete! i'm to be left behind--in primordial ooze? if you're at home in the ooze and nowhere else. this is going to become very physical.  are you prepared for that? you're not such a creature of the ooze that you'd hurt an unarmed man. i'm an honorable clown? king arthur. you hope. in any event i will not beg for mercy. no quarter asked.  no quarter given. don't you laugh even inwardly at the heroic balderdash you spew? cut me open.  find out. i've struck my blow. with spittle? i've poisoned you. harold  lucretia borgia?  something i drank or touched?  you refused a cigar.  that's it! potassium cyanide in the humidor! treacherous lover of peace! i put a poisoned thought in your head.  even now that poison is seeping into every lobe of your mind.  it's saying """"obsolete obsolete obsolete"""" and """"clown clown clown."""" poison. you have a very good mind or i wouldn't have come back.  that mind is now asking itself cleverly and fairly """"is harold ryan really a clown?"""" and the answer is """"yes."""" i--i really must congratulate you. something is happening in there. you can never take yourself seriously again!  look at all the creatures you've protected us from! did you shoot them on the elevator as they were on their way up here to eat us alive? no. woodly the magic root you gave me--i had it analyzed.  it was discovered by a harvard botanist in 1893!  he explored your famous jungle for five years armed with nothing but kindness a talent for languages and a pocketknife. i see. you aren't going to hurt me.  you aren't going to hurt anybody any more.  any violent gesture will seem ridiculous--to yourself! don quixote. my violin is avenged! something seems to have happened to my self-respect. and the hell with it.  it was so tragically irrelevant so preposterously misinformed. the new hero is you. i hate crowds and i have no charisma-- you're too modest. but the new hero will be a man of science and of peace--like me. he'll disarm you of course.  no more guns no more guns. was i ever of use? never.  for when you began to kill for the fun of it you became the chief source of agony of mankind.""",-0.47260343421,0.583,-0.9946,3.7
yes yes! you didn't have a gun in your hand last night? no! s'pose you've never thought of killing him-- i wouldn't say that--  i'm glad he's dead--yes--i'd thought of killing him-- but i didn't-- why? because i was yellow i guess--,0.54753921296,0.3556,0.8801,2.9
why would they care what we think? what kind of park is it?,0.692697259,0.9,0.5514,-1.4
i won't be more than ten minutes i promise you. even ten minutes is a long time to be away from you.,-0.06018246226,0.225,0.3182,4.0
good-bye darling. i'll only be gone until three. good-bye. if you get lonely go down and see mrs. romari. i told her you were staying with me. i won't get lonely.,0.37508978562,0.6722,-0.0516,1.3
approximately forty-seven minutes sir. i have to find a way to get to soran.,-0.29992945,0.6,0.0,7.2
the last time i was with someone we went through this awful mutual disease questionnaire but i guess it beats getting paranoid the next day.  okay i'll go first.  i haven't... it would never occur to me to worry at all about you.,-0.35073373829,0.38,-0.7391,5.2
you want the cake!? i want it...,0.90838696208,0.0,0.2244,-2.6
we can't leave the piano let us not discuss this further. i am very pleased....,-0.41575590826,0.75,0.0382,2.5
jen listen ... i like--really need a cigarette too. i'll get us out of here. i really will. but if we don't play along we could alter their whole existence. we may never get home.,0.22299946088,0.3,-0.3724,2.1
we could lose the deal! if we have to.,1.81709500585,0.0,-0.4574,-1.0
that's it ray.  i've had it.  no more parties. i'm tired of taking abuse from over-privileged nine-year-olds. come on winston.  we can't quit now.  the holidays are coming up.  it's our best season.,-0.13250045548,0.5,0.0591,3.7
please don't have me arrested please! i didn't steal anything - you can search me! how did you get in here? i hid outside in the hall till the maid came to turn down your bed. she must've forgot something and when she went to get it she left the door open. i sneaked in and hid till she finished. then i just looked around - and pretty soon i was afraid somebody'd notice the lights were on so i turned them off - and then i guess i fell asleep. you were just looking around... that's all. what for? you probably won't believe me. probably not. it was for my report. what report? to whom? about how you live what kind of clothes you wear - what kind of perfume and books - things like that. you know the eve harrington clubs - that they've got in most of the girls' high schools? i've heard of them. ours was one of the first. erasmus hall. i'm the president. erasmus hall. that's in brooklyn isn't it? lots of actresses come from brooklyn. barbara stanwyck susan hayward - of course they're just movie stars.,0.57240246948,0.5344,0.9352,3.7
i...i can't... you can and you will! swim rennie!,-0.40915534675,0.0,0.0,-1.5
yo. check this out guys this is insanely great it's got a 28.8 bps modem! yeah? display?,0.23217164139,0.75,0.7877,0.5
you take one more step i'll kill her. you'd do her a favor.,0.76746941715,0.5,-0.5046,0.9
i know i'm not exactly a girl scout but . . . maybe if i show him i'm trying . . . he'll like me. who? clark. he's late again.  i can't figure him out. that's because there's nothing to figure out. now will you please pay attention. i'm not through insulting your father. lois have you ever fallen for a guy and he's not like other guys . . . he's different. it's like you come from two different worlds.,0.97155325446,0.5708,0.906,2.5
valets.  what d'ya mean valets.  what is he then the earl of fucking doncaster? <u>valets</u>.  they park cars.  he's having a party.,0.99286408752,0.7438,0.4019,1.7
okay tell you what i'll give you a head start.  you take her to the station house.  don't let her out of your sight. she's the only warm body we got left. hey.  i'm a professional. women like that have a way of turning professionals into amateurs.,0.55600618302,0.44,0.6486,2.5
now you must pay me. i? the child is mine uther. i have come for him.,0.77253623186,0.0,-0.1027,-0.7
"""you four are going to have a little company out in the park.  spend a little time with our target audience. maybe they'll help you get the spirit of this place. what does he mean by """"target audience""""?""",0.74289005081,0.5625,0.5267,3.3
now is your shit together? forever together.,-0.23552057018,0.8,-0.5574,7.2
good morning vanessa! i hope you have on clean underwear. why? we've got a doctor's appointment-- an evil doctor's appointment.,0.4784454718,0.7667,0.5255,5.6
you think they're connected? i think something's fucking connect- ed. i mean a car tried to run me over the other day. doug too right? we've got six guys here going fucking crazy.,-0.01672270449,0.6596,-0.4684,2.1
how are you? insane! didn't ja hear? my family got five hundred times better.  let's go vanessa.,0.09376416236,0.75,0.2148,3.7
ohhhh i don't think so... how do you know that? just a guess. maybe they're not where they're supposed to be. maybe somebody moved them. habeas corpus -- no bodies no crime and nunez still plays as self defense. face it detectives... you have nothing.,0.29277775616,0.0,-0.6597,2.9
tough guy.  what are you--how's your head. yes and my giraffe loves it too...,-0.09622002713,0.8333,0.7096,1.3
lookit you're getting' what you want all the time. it ain't right that i don't get somethin'! i never get somethin'! i knew it i knew it go be nice to people and they think they can ask for the moon! the moon! listen man when i was a little bitty kid all my friends got them electric trains for christmas. my mama didn't have barely enough to pay the electric bill let alone buy me no train set.,0.20995119357,0.6339,0.6164,3.6
why don't you start with me? you're not them.,0.71776992601,0.0,0.0,-2.2
the world.  <u>thinks</u> i'm gone.  but only the magician.  knows better. so where are you?,0.42542830239,0.75,0.5927,2.9
what? i told you ... i can't. i just -- it doesn't feel right anymore you know?,-0.3938172421,0.5357,0.0,0.1
i suppose one must pass through this purgatory to the heaven of being a good doctor. that's the way of it fettes.  you bring the lassie to me.,0.4508359369,0.6,0.7351,2.1
where's spa. jimmy knows. 13th street. we'll meet you there.,-0.170820825,0.0,0.0,0.1
that's terrible.  what a bitch.  she was obviously just using you terri.  ready to dump you the second she had what she needed interfering little whore. no.  it isn't ... she wouldn't ... it's like i must have done something wrong you know?  freaked her out.  just fucked up something good again. hey you didn't fuck it up with me.  you know that.  it was my fault babe it really was.  and you know i'm sorry. and i'm sorry to see you upset now.  i hate to see you in pain like this.,-0.00385705608,0.6462,-0.9861,1.3
you are a master of understatement. they are likely to destroy the planet. then it's fortunate that i have you and your starship to protect me. in the meantime captain chekov i instruct you and your first officer to beam down to my coordinates. we will be happy to beam down. but first we must have certain assurances.,0.62301019256,0.5645,0.8225,4.4
you sure i can stay over? my dad won't be back til sunday. no prob. i'll pick you up after practice. tell your mom i said thanks. yeah yeah... are you okay? uh-huh it's just... you know the police and reporters... it brings it all back. i'll be there by seven. i promise thanks tatum. later.,0.46266941933,0.2556,0.8924,0.5
this is great reefer. yeah. i'm surprised. it's really old...  travels well though.  you know the world looks a lot better from up here. the world is fantastic. it's the ultimate absurd circus. i am shot from a cannon into the energy. what are you shooting for? maximum intensity. yeah. i can't wait to get out of here. i'm gonna write. i'm gonna check out of this bourgeois motel. push myself away from the dinner table and say 'no more jello for me mom.' don't you get along with your parents? the only thing my father digs is cold green money. all my mother cares about is her standing at the country club. they care about you. they're just a different generation. hey what's with you? i thought you were cool. you rode my bike. you blew some pot.  what's your scene miss majorette? you gonna marry mr. blue impala and graze around with all the other sheep for the rest of your life? i already did that. i want to be a dancer i want to dance.,0.17937472156,0.6517,0.9791,2.1
he even played golf with the president. on behalf of the teamsters' pension fund it is my pleasure to present to you . . . but andy also took orders. and when he was told to give a pension fund loan to philip green... ...this check for $62700000 for the new tangiers.,0.19024638234,0.2515,0.4678,2.1
"""""""good night good night. as sweet repose and rest come to thy heart as that within my breast. o wilt thou leave me so unsatisfied?"""" that's my line! oh but it is mine too!""",-0.1486075644,0.6167,0.658,0.9
...who's jean? my wife! what the - how's - oh jean's okay. but there's three people up in brainerd who aren't so okay i'll tell ya that. what the heck're you talkin' about? let's just finish up this deal here - blood has been shed jerry.,0.01516427943,0.5,0.5349,2.5
well these things happen.  <u>purpose</u> of my call my wife wanted to know what brand of <u>cigarettes</u> mr. barrenger smokes so she could lay some out tonight...we got the list of his dietary <u>requirements</u>... so we just got lucky.,0.39905261872,0.8333,0.5994,4.8
how long is a movie script these days?  i mean how many pages? depends on what it is -- a donald duck or joan or arc. this is to be a very important picture.  i have written it myself.  took me years. looks like enough for six impor- tant pictures. it's the story or salome.  i think i'll have demille direct it. uh-huh.,0.29747380751,0.5812,0.6063,2.1
go on and make yourself at home.  i'mma go get dressed for work. oh yeah where you work at? pinky's records and disc in the shopping center.  i'mma talk to my boss and see if he got a little position for you.  'cause you been unemployed for a long time now craig. thanks for reminding me.,0.25044938425,0.3,0.6249,1.7
almighty lord word of god the father jesus christ god and lord of all creation who gave to your holy apostle the power to tramp underfoot serpents and scorpions. grant me your unworthy servant pardon for all my sins... bastards! stop!,-0.32811744548,0.0,-0.1739,7.6
who's the honcho around here? i am. hur you? well sir my name is jordan rivers and these here are the soggy bottom boys outta cottonelia mississippi- songs of salvation to salve the soul. we hear you pay good money to sing into a can. well that all depends. you boys do negro songs?,-0.11600894364,0.6,0.7383,3.7
captain mertin? what want ye girl child? i am not a child captain mertin but rather an adult lady of miniature proportions. i see. well it is not my fault that thou art tiny. so if it is charity yer after then be gone with ye ye foul demon. i am not asking for alms but rather the ear of a kind man with a noble heart. aye. speak then if ye must. captain mertin surely i am a god-fearing christian woman like yourself but alas i am afraid that the world was not built with me in mind. door knobs are too high chairs are unwieldy high-ceilinged rooms mock my stature. nor am i a marrie lady captain. after all who would marry a person of my diminutiveness? so i am forced to work for my few pennies a week as an optometrist. why cannot there be a place for me to work safe and comfortable?,0.22540899319,0.5791,0.9766,4.8
now that's what i call a meal. it's like the garden of eden...,-0.04523133216,0.0,0.3612,-0.3
it didn't hurt too much did it? ye... --i'm pretty good at stitchery. i've sewn my father's wounds more than once.,0.16733155718,0.575,0.8349,1.3
i've got the ropes loose now. i've got my hands free.  be careful--don't change your expression too much.  they must not catch on. what can we do against them? i don't know yet.  we'll just have to watch our chance. when it comes i'll know what to do--i hope i'll know what to do. i still don't know what ever made me go steady with a crackpot writer like you. all right.  put it on heavy. my old boyfriend tommy would never have gotten me in a mess like this.  at least <i>he's</i> got brains. <i>him!</i>  i'll bet he sleeps with all the lights on. maybe so.,0.5101392719,0.3978,0.8268,1.7
balefire on you selena! you scorpios can never take a joke.,-0.65946668398,0.0,-0.2914,5.2
well that's the eye right there. <u>money</u>.  and all the power and misery it brings with it. it's a plot to take over the world.  the master conspiracy. can take a lifetime to pull off. do they have a secret handshake?,0.00867378419,0.6179,-0.7184,2.1
i'm glad you and the general didn't have to leave us. we would feel quite deserted.. how could we go back to the wars with such pleasant company here.. thank you.,0.43873616739,0.5933,0.654,2.5
the probability on one-four-reel machine is a million and a half to one. on three machines in a row it's in the billions.  it cannot happen... would not happen you fuckin' momo! what's the matter with you!  didn't you see you were bein' set up on the second win? i really think you're - you - wait! you didn't see that you were being set up on the second win? i really think you're overreacting in this whole - listen you fuckin' yokel i've had it with you. i've been carryin' your ass in this place ever since i got here. get your ass and get your things and get out of here. you're firin' me? i'm firin' you? no i'm not firin'  i'm firin' you you -,-0.31211493896,0.2208,-0.5165,1.7
don't feed that dog. you people really don't like dogs. some holes can't be filled.  some hungers can't be satisfied.,-0.29765047941,0.7,-0.5748,2.9
things went badly in palermo? the younger men have no respect. things are changing i don't know what will happen.  michael because of the wedding people now know your name. is that why there are more men on the walls? even so i don't think it is safe here anymore.  i've made plans to move you to a villa near siracuse. you must go right away. what is it? bad news from america.  your brother santino.  he has been killed.,-0.34345892423,0.467,-0.8334,2.1
way he put it i was the only one he thought could handle it. but you know what the worst thing is? no...what? i could get promoted right out of here. what's wrong with that? i wouldn't be close to you.  what is that perfume girl?,-0.12604339247,0.8589,-0.8426,0.1
doc... lily. doc.,-0.170820825,0.0,0.0,-0.3
"""joe listen don't """"joe"""" me. okay joe. listenyou know i've always liked you. anytime i could do you a great turnanytime i ran into a story that looked goodi always came running to you didn't i? well i got one now. those wires i sent you were on the level. it's the biggest scoop of the year. i'm giving it to you joe. you mean about the andrews' kid? that's it.  i got it all written up. ready to go. all i want is a thousand dollars.""",0.24552715615,0.6475,0.8905,2.5
his madness....could be from shock. no. i didn't stop the infection in time. i know.  don't worry. when he dies i won't be like maria. i'll shoot him.,0.3524751159,0.0,-0.6144,1.3
what's that? a videotape. who's it from? i don't know... there's no return address on the envelope... in fact there's no address on it. does it say anything on the tape? no nothing.,-0.04275720582,0.0,0.6374,2.1
why is there so much nose?  i can't hear myself think!  look - give me something.  so we can all get out of this room.  a name.  a code.  it's too hot. i slept with the girl.  i've got a wife in tripoli.  a girl comes up and points at you you only see trouble.,-0.59613275338,0.5625,-0.4574,0.9
